|filename                                                    | depth     | fanout    | filesize  | disk (blk)|
|.                                                           | 0         | 9         | NA        | NA        |
|./include                                                   | 1         | 0         | NA        | NA        |
|./lib                                                       | 1         | 11        | NA        | NA        |
|./lib/mime                                                  | 2         | 1         | NA        | NA        |
|./lib/mime/packages                                         | 3         | 2         | NA        | NA        |
|./lib/mime/packages/tar                                     | 4         | 0         | 321       | 4         |
|./lib/mime/packages/util-linux                              | 4         | 0         | 90        | 4         |
|./lib/os-release                                            | 2         | 0         | 286       | 4         |
|./lib/locale                                                | 2         | 1         | NA        | NA        |
|./lib/locale/C.utf8                                         | 3         | 12        | NA        | NA        |
|./lib/locale/C.utf8/LC_PAPER                                | 4         | 0         | 34        | 4         |
|./lib/locale/C.utf8/LC_IDENTIFICATION                       | 4         | 0         | 258       | 4         |
|./lib/locale/C.utf8/LC_MEASUREMENT                          | 4         | 0         | 23        | 4         |
|./lib/locale/C.utf8/LC_NUMERIC                              | 4         | 0         | 50        | 4         |
|./lib/locale/C.utf8/LC_NAME                                 | 4         | 0         | 62        | 4         |
|./lib/locale/C.utf8/LC_MONETARY                             | 4         | 0         | 270       | 4         |
|./lib/locale/C.utf8/LC_TELEPHONE                            | 4         | 0         | 47        | 4         |
|./lib/locale/C.utf8/LC_COLLATE                              | 4         | 0         | 1406      | 4         |
|./lib/locale/C.utf8/LC_CTYPE                                | 4         | 0         | 367708    | 360       |
|./lib/locale/C.utf8/LC_ADDRESS                              | 4         | 0         | 127       | 4         |
|./lib/locale/C.utf8/LC_MESSAGES                             | 4         | 1         | NA        | NA        |
|./lib/locale/C.utf8/LC_MESSAGES/SYS_LC_MESSAGES             | 5         | 0         | 48        | 4         |
|./lib/locale/C.utf8/LC_TIME                                 | 4         | 0         | 3360      | 4         |
|./lib/aarch64-linux-gnu                                     | 2         | 113       | NA        | NA        |
|./lib/aarch64-linux-gnu/libapt-pkg.so.7.0                   | 3         | 0         | 19        | 0         |
|./lib/aarch64-linux-gnu/libhogweed.so.6                     | 3         | 0         | 18        | 0         |
|./lib/aarch64-linux-gnu/libpamc.so.0.82.1                   | 3         | 0         | 67672     | 68        |
|./lib/aarch64-linux-gnu/liblzma.so.5.8.1                    | 3         | 0         | 198664    | 196       |
|./lib/aarch64-linux-gnu/libpam_misc.so.0                    | 3         | 0         | 21        | 0         |
|./lib/aarch64-linux-gnu/libattr.so.1                        | 3         | 0         | 19        | 0         |
|./lib/aarch64-linux-gnu/libmount.so.1                       | 3         | 0         | 17        | 0         |
|./lib/aarch64-linux-gnu/libdrop_ambient.so.0                | 3         | 0         | 24        | 0         |
|./lib/aarch64-linux-gnu/libsqlite3.so.0                     | 3         | 0         | 19        | 0         |
|./lib/aarch64-linux-gnu/gconv                               | 3         | 256       | NA        | NA        |
|./lib/aarch64-linux-gnu/gconv/IBM4971.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM850.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-ES-A.so                | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-FI-SE.so               | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1004.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM284.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/TIS-620.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/libCNS.so                     | 4         | 0         | 526344    | 516       |
|./lib/aarch64-linux-gnu/gconv/ISO8859-15.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM874.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1149.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO8859-11.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1144.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1130.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM9066.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1156.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/gconv-modules.d               | 4         | 1         | NA        | NA        |
|./lib/aarch64-linux-gnu/gconv/gconv-modules.d/gconv-modules-extra.conf| 5         | 0         | 53974     | 56        |
|./lib/aarch64-linux-gnu/gconv/ISO8859-13.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/MAC-UK.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM500.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM871.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/LATIN-GREEK.so                | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-ES.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/HP-ROMAN8.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/LATIN-GREEK-1.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO8859-2.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GBGBK.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ASMO_449.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO-2022-CN-EXT.so            | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM285.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GB18030.so                    | 4         | 0         | 198664    | 196       |
|./lib/aarch64-linux-gnu/gconv/MAC-CENTRALEUROPE.so          | 4         | 0         | 67592     | 68        |
